     0.008 D | Testing "D:/JT Minecraft Files, Mods, and Dependencies/Prism Launcher/qtlogging.ini" ...
     0.009 D | Loading logging rules from: "D:/JT Minecraft Files, Mods, and Dependencies/Prism Launcher/qtlogging.ini"
     0.010 D | Setting log rules:
     0.010 D |      "*.debug=true"
     0.010 D |      "launcher.auth.credentials.debug=false"
     0.010 D |      "launcher.task=false"
     0.010 D |      "launcher.task.net=true"
     0.011 D |      "launcher.task.net.download.debug=false"
     0.011 D |      "launcher.task.net.metacache=false"
     0.011 D |      "launcher.task.net.metacache.http=true"
     0.011 D |      "launcher.task.net.upload=true"
     0.011 D |      "qt.*.debug=false"
     0.011 D | <> Log initialized.
     0.012 D | <> No migration needed from "PolyMC"
     0.012 D | <> No migration needed from "MultiMC"
     0.012 D | Prism Launcher, � 2022-2025 Prism Launcher Contributors, � 2021-2022 PolyMC Contributors, � 2012-2021 MultiMC Contributors
     0.012 D | Version                    :  "9.4"
     0.012 D | Platform                   :  "official"
     0.012 D | Git commit                 :  ""
     0.012 D | Git refspec                :  "refs/heads/stable"
     0.012 D | Compiled for               :  "Windows 6.2.9200 AMD64"
     0.012 D | Compiled by                :  "Clang - 20.1.1"
     0.012 D | Build Artifact             :  "Windows-MinGW-w64-Qt"
     0.012 D | Updates Enabled           :  Yes
     0.013 D | Work dir before adjustment :  "D:/JT Minecraft Files, Mods, and Dependencies/Prism Launcher"
     0.013 D | Work dir after adjustment  :  "D:/JT Minecraft Files, Mods, and Dependencies/Prism Launcher"
     0.013 D | Adjusted by                :  "Portable data path"
     0.013 D | Binary path                :  "D:/JT Minecraft Files, Mods, and Dependencies/Prism Launcher"
     0.013 D | Application root path      :  "D:/JT Minecraft Files, Mods, and Dependencies/Prism Launcher"
     0.013 D | <> Paths set.
     0.045 D | Detected default console font: "Courier New" , substitutions: ""
     0.073 D | <> Settings loaded.
     0.074 D | Detecting proxy settings...
     0.074 D | Using no proxy is an option!
     0.074 D | <> Network done.
     0.086 D | Your language is "en_US"
     0.086 D | <> Translations loaded.
     0.087 D | Started watching  "D:/JT Minecraft Files, Mods, and Dependencies/Prism Launcher/icons"
     0.087 D | Sorting icon list...
     0.088 D | <> Instance icons initialized.
     0.146 D | [Theme] Determining System Widget Theme...
     0.146 D | [Theme] System theme seems to be: "windows11"
     0.146 D | [Theme] <> Initializing Icon Themes
     0.146 D | [Theme] Loaded Built-In Icon Theme "pe_colored"
     0.146 D | [Theme] Loaded Built-In Icon Theme "pe_light"
     0.146 D | [Theme] Loaded Built-In Icon Theme "pe_dark"
     0.146 D | [Theme] Loaded Built-In Icon Theme "pe_blue"
     0.146 D | [Theme] Loaded Built-In Icon Theme "breeze_light"
     0.147 D | [Theme] Loaded Built-In Icon Theme "breeze_dark"
     0.147 D | [Theme] Loaded Built-In Icon Theme "OSX"
     0.147 D | [Theme] Loaded Built-In Icon Theme "iOS"
     0.147 D | [Theme] Loaded Built-In Icon Theme "flat"
     0.147 D | [Theme] Loaded Built-In Icon Theme "flat_white"
     0.147 D | [Theme] Loaded Built-In Icon Theme "multimc"
     0.147 D | [Theme] Icon Theme Folder Path:  "D:/JT Minecraft Files, Mods, and Dependencies/Prism Launcher/iconthemes"
     0.148 D | [Theme] <> Icon themes initialized.
     0.148 D | [Theme] <> Initializing Widget Themes
     0.148 D | [Theme] Loading Built-in Theme: "system"
     0.148 D | [Theme] Loading Built-in Theme: "dark"
     0.148 D | [Theme] Loading Built-in Theme: "bright"
     0.148 D | [Theme] <> Initializing System Widget Themes
     0.148 D | [Theme] Loading System Theme: "windows11"
     0.148 D | [Theme] Loading System Theme: "windowsvista"
     0.148 D | [Theme] Loading System Theme: "Windows"
     0.148 D | [Theme] Loading System Theme: "Fusion"
     0.148 D | [Theme] Theme Folder Path:  "D:/JT Minecraft Files, Mods, and Dependencies/Prism Launcher/themes"
     0.149 D | [Theme] <> Widget themes initialized.
     0.149 D | [Theme] CatPacks Folder Path: "D:/JT Minecraft Files, Mods, and Dependencies/Prism Launcher/catpacks"
     0.579 D | Instance path              :  "instances"
     0.580 D | Loading Instances...
     0.580 D | Discovering instances in "D:/JT Minecraft Files, Mods, and Dependencies/Prism Launcher/instances"
     0.580 D | Found instance ID "1.21.5"
     0.580 D | Found instance ID "Optimized Performance - MC 1.21.5 - 1.3"
     0.580 D | Will load group list now.
     0.587 D | Group list loaded.
     0.598 D | Loaded instance  "1.21.5"  from  "D:/JT Minecraft Files, Mods, and Dependencies/Prism Launcher/instances/1.21.5"
